text,positive,negative
J'adore cette journee ensoleillee !,1,0
Je suis tellement fatigue de tout.,0,1
Le film etait incroyable j'ai adore !,1,0
La circulation ce matin etait un cauchemar.,0,1
Cette vue est e couper le souffle.,1,0
Je deteste quand il pleut.,0,1
Quel bonheur de passer du temps avec mes amis.,1,0
Je suis epuise par cette semaine.,0,1
J'ai eu une excellente journee aujourd'hui.,1,0
Le service etait horrible je ne reviendrai pas.,0,1
J'aime beaucoup ce nouveau livre.,1,0
Le travail me stresse tellement.,0,1
Je suis si content de mon nouveau travail !,1,0
Je me sens vraiment mal aujourd'hui.,0,1
C'est une excellente idee !,1,0
Je n'ai pas aime ce film.,0,1
Ce plat est delicieux.,1,0
Je suis deeu par la performance du produit.,0,1
Cette application est super !,1,0
C'etait une journee epuisante.,0,1
Je suis tellement heureux de ma promotion.,1,0
C'est une grosse arnaque je n'acheterai plus jamais.,0,1
J'ai eu une belle soiree avec mes amis.,1,0
Ce matin a ete catastrophique.,0,1
Quel plaisir de prendre un cafe dehors.,1,0
Je n'ai pas aime le service.,0,1
J'ai trouve ce film un peu long.,0,1
Je suis ravi de mes nouvelles chaussures !,1,0
La meteo est vraiment mauvaise aujourd'hui.,0,1
Quel moment incroyable passe ensemble.,1,0
Je suis epuise apres cette longue journee.,0,1
J'adore ce genre de musique.,1,0
J'ai perdu mon porte-feuille je suis trop stresse.,0,1
Quel joli coucher de soleil !,1,0
Je suis vraiment deeu par la qualite.,0,1
C'etait une belle randonnee !,1,0
Le restaurant etait trop bruyant.,0,1
Cet endroit est vraiment agreable.,1,0
Je n'arrive pas e dormir.,0,1
C'etait un excellent dener.,1,0
Ce film est une vraie deception.,0,1
Je suis tellement content de mes vacances.,1,0
Je deteste etre en retard.,0,1
Ce geteau est delicieux !,1,0
Je suis vraiment frustre par cette situation.,0,1
Je me sens bien aujourd'hui !,1,0
Les gens sont tellement desagreables.,0,1
C'etait un concert incroyable !,1,0
Ce probleme me rend fou.,0,1
J'ai adore cette exposition.,1,0
Cette journee a ete tellement longue.,0,1
Je vais me coucher tet ce soir.,1,0
Je suis trop fatigue pour sortir.,0,1
Je vais vraiment apprecier ce week-end.,1,0
C'est une vraie perte de temps.,0,1
J'adore la nature.,1,0
Je ne veux plus jamais aller le-bas.,0,1
Cette recette est super facile.,1,0
Je suis un peu deprime aujourd'hui.,0,1
C'etait une excellente performance.,1,0
Ce livre est difficile e comprendre.,0,1
Ce parfum est sublime.,1,0
Je suis deeu par cette serie.,0,1
C'est une journee parfaite.,1,0
Je ne peux pas croire que cela soit arrive.,0,1
Je suis tellement content de mes resultats.,1,0
Je suis enerve par ce retard.,0,1
Quelle belle decouverte !,1,0
Je suis fatigue de toujours courir partout.,0,1
Ce film m'a vraiment touche.,1,0
Cette situation est insupportable.,0,1
La mer est si belle aujourd'hui.,1,0
Je ne supporte pas ce genre de musique.,0,1
Quel endroit fantastique !,1,0
C'est la pire experience que j'ai eue.,0,1
J'ai bien mange ce soir.,1,0
Je suis vraiment deeu par la qualite.,0,1
Ce livre est incroyable.,1,0
Je me sens vraiment stresse.,0,1
Ce restaurant a une ambiance parfaite.,1,0
Je suis epuise apres cette journee.,0,1
J'adore ce genre de films.,1,0
Je suis trop fatigue pour travailler.,0,1
Ce geteau est delicieux.,1,0
Je suis un peu deprime aujourd'hui.,0,1
Quel beau paysage.,1,0
Je suis tellement content de mon travail.,1,0
C'etait une journee epuisante.,0,1
J'adore passer du temps en famille.,1,0
Ce film est ennuyeux.,0,1
Ce coucher de soleil est incroyable.,1,0
Je deteste ces situations stressantes.,0,1
Quelle belle soiree.,1,0
Je suis vraiment fatigue.,0,1
C'est un endroit genial pour se detendre.,1,0
Cette situation est deprimante.,0,1
Je suis tellement heureux de ce que j'ai accompli.,1,0
Je suis un peu deprime aujourd'hui.,0,1
Le temps est vraiment agreable aujourd'hui.,1,0
Je me sens bien aujourd'hui.,1,0
